artist_id,artist_name,rank_listeners,monitored_on
3nFkdlSjzX9mRTtwJOzDYB,Jay-Z,85,7/4/2026
5KKpBU5eC2tJDzf0wmlRp2,Raye,86,7/4/2026
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,87,7/4/2026
329e4yvIujISKGKz1BZZbO,Farruko,88,7/4/2026
55Aa2cqylxrFIXC767Z865,Lil Wayne,89,7/4/2026
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,90,7/4/2026
5fMUXHkw8R8eOP2RNVYEZX,Diplo,91,7/4/2026
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,92,7/4/2026
0fTSzq9jAh4c36UVb4V7CB,Alex Warren,93,7/4/2026
6LqNN22kT3074XbTVUrhzX,Kesha,94,7/4/2026
3q7HBObVc0L8jNeTe5Gofh,50 Cent,95,7/4/2026
4Gso3d4CscCijv0lmajZWs,Don Toliver,96,7/4/2026
0jnsk9HBra6NMjO2oANoPY,Flo Rida,97,7/4/2026
2R21vXR83lH98kGeO99Y66,Anuel AA,98,7/4/2026
3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,99,7/4/2026
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,100,7/4/2026
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,101,7/4/2026
45dkTj5sMRSjrmBSBeiHym,Tate Mcrae,102,7/4/2026
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,103,7/4/2026
2tIP7SsRs7vjIcLrU85W8J,The Kid Laroi,104,7/4/2026
0LcJLqbBmaGUft1e9Mm8HV,Abba,105,7/4/2026
7iK8PXO48WeuP03g8YR51W,Myke Towers,106,7/4/2026
1URnnhqYAYcrqrcwql10ft,21 Savage,107,7/4/2026
67hb7towEyKvt5Z8Bx306c,Empire of the Sun,108,7/4/2026
2FXC3k01G6Gw61bmprjgqS,Hozier,109,7/4/2026
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,110,7/4/2026
7oPftvlwr6VrsViSDV7fJY,Green Day,111,7/4/2026
22wbnEMDvgVIAGdFeek6ET,Benson Boone,112,7/4/2026
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,113,7/4/2026
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,114,7/4/2026
2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,115,7/4/2026
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,116,7/4/2026
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,117,7/4/2026
1vCWHaC5f2uS3yhpwWbIA6,Avicii,118,7/4/2026
0z4gvV4rjIZ9wHck67ucSV,Akon,119,7/4/2026
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,120,7/4/2026
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,121,7/4/2026
5NGO30tJxFlKixkPSgXcFE,The Police,122,7/4/2026
3GdSQUH1BRtl9UrrtuwJlP,Irshad Kamil,123,7/4/2026
687cZJR45JO7jhk1LHIbgq,Tems,124,7/4/2026
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,125,7/4/2026
3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,126,7/4/2026
